simulator,experiment_folder,model,workload,wall_clock_seconds,exp_id,hardware,dp,cpu_offload,gpu_mem_util,precision,tp,max_num_batched_tokens
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,2.7296332081314176,2,H100,,True,0.9,FP16,2,2048
blis-evolved,3-codellama-34b-tp2-roleplay,codellama/CodeLlama-34b-Instruct-hf,roleplay,3.993495667120442,3,H100,,True,0.9,FP16,2,2048
blis-evolved,6-llama-2-70b-tp4-codegen,meta-llama/Llama-2-70b-hf,codegen,2.73517662496306,6,H100,,True,0.9,FP16,4,2048
blis-evolved,7-llama-2-70b-tp4-roleplay,meta-llama/Llama-2-70b-hf,roleplay,4.072253084043041,7,H100,,True,0.9,FP16,4,2048
blis-evolved,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,4.434378333156928,9,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,2.776137416018173,10,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,11-mixtral-8x7b-tp2-roleplay,mistralai/Mixtral-8x7B-v0.1,roleplay,4.098672250052914,11,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,13-qwen3-14b-tp1-general-1,Qwen/Qwen3-14B,general,0.7702374171931297,13,H100,,False,0.9,FP16,1,2048
blis-evolved,14-qwen3-14b-tp1-codegen-1,Qwen/Qwen3-14B,codegen,0.5075576670933515,14,H100,,False,0.9,FP16,1,2048
blis-evolved,15-qwen3-14b-tp1-roleplay-1,Qwen/Qwen3-14B,roleplay,0.6295372080057859,15,H100,,False,0.9,FP16,1,2048
blis-evolved,16-llama-3-1-8b-tp1-general-1,meta-llama/Llama-3.1-8B-Instruct,general,0.8233886251691729,16,H100,,False,0.9,FP16,1,2048
blis-evolved,18-llama-3-1-8b-tp1-codegen-1,meta-llama/Llama-3.1-8B-Instruct,codegen,0.5407197920139879,18,H100,,False,0.9,FP16,1,2048
blis-evolved,19-llama-3-1-8b-tp1-roleplay-1,meta-llama/Llama-3.1-8B-Instruct,roleplay,0.6625012499280274,19,H100,,False,0.9,FP16,1,2048
blis-evolved,22-llama-3-1-8b-tp1-general-1,meta-llama/Llama-3.1-8B-Instruct,general,0.7977978750132024,22,H100,,False,0.9,FP16,1,1024
blis-evolved,23-llama-3-1-8b-tp1-general-1,meta-llama/Llama-3.1-8B-Instruct,general,0.7934341670479625,23,H100,,False,0.9,FP16,1,8192
blis-evolved,24-llama-3-1-8b-tp1-general-1,meta-llama/Llama-3.1-8B-Instruct,general,0.7954659159295261,24,H100,,True,0.9,FP16,1,2048
blis-evolved,25-llama-3-1-8b-tp1-general-1,meta-llama/Llama-3.1-8B-Instruct,general,0.8527462498750538,25,H100,,False,0.95,FP16,1,2048
blis-evolved,26-llama-3-1-8b-tp2-general-2,meta-llama/Llama-3.1-8B-Instruct,general,0.8589147080201656,26,H100,,False,0.9,FP16,2,2048
blis-evolved,27-mixtral-8x7b-tp2-general-lite-2-1,mistralai/Mixtral-8x7B-v0.1,general-lite,0.2680857910308987,27,H100,1.0,False,0.9,FP16,2,1024
blis-evolved,28-mixtral-8x7b-tp2-general-2,mistralai/Mixtral-8x7B-v0.1,general,0.799522666959092,28,H100,1.0,False,0.9,FP16,2,8192
blis-evolved,29-mixtral-8x7b-tp2-general-2,mistralai/Mixtral-8x7B-v0.1,general,0.8012744169682264,29,H100,1.0,True,0.9,FP16,2,2048
